# PathPlanner CSV Format:
# timeSeconds, xPositionMeters, yPositionMeters, headingDegrees, velocityMetersPerSecond, accelerationMetersPerSecondSq, curvatureRadPerMeter, holonomicRotationDegrees, angularVelocityDegreesPerSec, holonomicAngularVelocityDegreesPerSec
 0.0,2.012552401173178,5.047272316766856,179.90713743842818,0,3.0,-0.31761031461809686,0.0,0.0,0.0
 0.08794784094091099,2.000950182322615,5.047291121165975,179.90713743842818,0.263843522822733,3.0000000000000004,-0.31761031461809686,0.0,-5.947294237573017,0.0
 0.12223840830976802,1.9901392187627494,5.0473471236878815,179.70320134471228,0.3667152249293041,2.9999999999999996,-0.3890945903826571,0.0,-9.357706776024694,0.0
 0.1470599400437808,1.9801130499813189,5.047439708319406,179.47092872901362,0.4411798201313425,3.0000000000000018,-0.48411067377663747,0.0,-13.603820302146177,0.0
 0.1667106613041286,1.9708652154660604,5.047568259047373,179.20360384818028,0.5001319839123859,3.0000000000000027,-0.6132123937821873,0.0,-18.72240883922946,0.0
 0.18334324865543905,1.9623892547047102,5.047732159858612,178.89220174773484,0.519257858493734,1.1499037508341219,-0.7931756360586556,0.0,-23.654671183657488,0.0
 0.19889610455218573,1.9546787071850058,5.04793079473995,178.5243040555305,0.47259929080349394,-2.9999999999999982,-1.0517261634367956,0.0,-28.55441846913028,0.0
 0.21437398983800487,1.9477271123946838,5.048163547678215,178.082342042062,0.42616563494603654,-2.9999999999999982,-1.436851802949596,0.0,-35.19080623441266,0.0
 0.22976769221953064,1.9415280098214813,5.048429802660234,177.5406252443235,0.3799845278014592,-3.0000000000000036,-2.0363575316844544,0.0,-44.49369709054576,0.0
 0.24506362587027264,1.936074938953135,5.048728943672835,176.86005260575033,0.3340967268492332,-3.0,-3.022250699469487,0.0,-58.11073342010082,0.0
 0.26024084144613585,1.9313614392773824,5.049060354702845,175.97809347736194,0.2885650801216436,-2.9999999999999964,-4.761692198859212,0.0,-79.19248190475165,0.0
 0.27526521930469383,1.92738105028196,5.049423419737092,174.78827570566793,0.24349194654596967,-3.0,-8.130697744054206,0.0,-114.39860199363017,0.0
 0.2900772681561855,1.9241273114546047,5.049817522762404,173.09379802439594,0.19905579999149467,-2.9999999999999982,-15.557988453532701,0.0,-179.88811487295786,0.0
 0.3045640004183982,1.9215937622830537,5.0502420477656065,170.48780706707723,0.1555956032048566,-2.9999999999999982,-35.375971458319746,0.0,-323.5862409116511,0.0
 0.31848782277328347,1.9197739422550433,5.05069637873353,165.9822497321383,0.11382413614020083,-2.999999999999999,-106.90916225015425,0.0,-738.5743714477155,0.0
 0.33131290761791476,1.9186613908583117,5.051179899653,156.5099707542511,0.07534888160630694,-3.0,-510.7957675232818,0.0,-2466.9363438692544,0.0
 0.3425452189880238,1.9182496475805944,5.051691994510845,128.80057360967322,0.04165194749597982,-2.9999999999999973,-1729.2215141236297,0.0,-6014.98471116373,0.0
 0.35358817229066075,1.9185322519096288,5.052232047293893,62.377378328217034,0.06873993867143742,2.4529661978185926,-634.8965601062507,0.0,-2507.7106921990567,0.0
 0.36637466483995446,1.9195027433331524,5.05279944198897,30.312554246629645,0.10709941631931846,2.9999999999999947,-127.44943889679786,0.0,-766.1674018958402,0.0
 0.38011993541563455,1.9211546613389014,5.053393562582905,19.78137600130549,0.14833522804635882,3.000000000000006,-40.69982231296622,0.0,-342.0741325729997,0.0
 0.39431630423653297,1.9234815454146132,5.054013793062524,14.925165451210285,0.19092433450905397,2.999999999999992,-17.603076071893337,0.0,-191.44278709726802,0.0
 0.40873274313471913,1.9264769350480249,5.054659517414657,12.165242208524058,0.2341736512036124,2.9999999999999942,-9.136106562469452,0.0,-122.2054936360618,0.0
 0.4232597927363407,1.9301343697268727,5.055330119626129,10.38995694088234,0.277754800008477,3.0,-5.342529225302473,0.0,-84.89272162253971,0.0
 0.4378401202794192,1.9344473889388938,5.05602498368377,9.152193253602327,0.32149578263771267,3.000000000000004,-3.3971374540179076,0.0,-62.539127003420774,0.0
 0.4524409811265917,1.9394095321718257,5.0567434935744044,8.239068162721733,0.3652983651792302,3.000000000000004,-2.29828185839255,0.0,-48.102760280282354,0.0
 0.46704233098131404,1.9450143389134047,5.0574850332848635,7.536702930891488,0.40910241474339715,2.999999999999996,-1.6309105713318237,0.0,-38.24304287560027,0.0
 0.48163119768082396,1.9512553486513677,5.058248986801972,6.978780276195714,0.45286901484192693,3.0,-1.2020789179950613,0.0,-31.211575301582172,0.0
 0.496198795879305,1.9581261008734523,5.059034738112558,6.5241025880606305,0.49657180943737,3.0,-0.9138107921789508,0.0,-26.021688622951093,0.0
 0.5107389466444413,1.9656201350673945,5.059841671203451,6.145743312319489,0.5401922617327789,2.999999999999996,-0.7127475414338073,0.0,-22.082410712872708,0.0
 0.5252471627804081,1.9737309907209322,5.060669170061477,5.8253669248939435,0.5837169101406794,3.000000000000015,-0.5681293844304559,0.0,-19.022267039647733,0.0
 0.5397200943899909,1.9824522073218016,5.061516618673462,5.5500589549699,0.6271357049694279,3.0,-0.46136855456557435,0.0,-16.598242603833857,0.0
 0.554155179347003,1.99177732435774,5.062383401026237,5.310461912846462,0.670440959840464,2.9999999999999925,-0.3807777500861894,0.0,-14.64592989021636,0.0
 0.5685504154055797,2.001699881316484,5.0632689011066265,5.099630294779431,0.7136266680161942,3.0,-0.3187549141197182,0.0,-13.050870403537935,0.0
 0.582904207221339,2.012213417685771,5.06417250290146,4.912300817992595,0.7566880434634718,2.9999999999999925,-0.27020815414953764,0.0,-11.731385669427771,0.0
